,Date,Open,High,Low,Close,Volume,Stock,Return,Volume_Change,Daily_Range,Intraday_Volatility,Avg_Return,Avg_Intraday_Vol,Cluster,Profile
0,2025-03-27 03:45:00,886.0999755859375,905.5399780273438,882.2249755859375,900.385009765625,20920440,BAJFINANCE.NS,0.016121244298919497,,23.31500244140625,0.02631193215640154,0.0006209734908806825,0.022010759189213202,2,Low Risk - Steady Return (Stable)
1,2025-03-28 03:45:00,899.760009765625,902.8900146484376,886.0999755859375,894.5599975585938,9770990,BAJFINANCE.NS,-0.00577933243375173,-0.532945291781626,16.790039062500114,0.018660574909162373,0.0006209734908806825,0.022010759189213202,2,Low Risk - Steady Return (Stable)
2,2025-04-01 03:45:00,878.3300170898438,892.5,867.0999755859375,869.8200073242188,11834240,BAJFINANCE.NS,-0.009688852253758871,0.21116079332800464,25.4000244140625,0.028918543053122536,0.0006209734908806825,0.022010759189213202,2,Low Risk - Steady Return (Stable)
3,2025-04-02 03:45:00,873.0,875.9849853515625,861.2000122070312,866.9249877929688,6464950,BAJFINANCE.NS,-0.0069587768694516034,-0.4537080539181223,14.78497314453125,0.016935822616874284,0.0006209734908806825,0.022010759189213202,2,Low Risk - Steady Return (Stable)
4,2025-04-03 03:45:00,865.0,876.5,846.02001953125,859.4600219726562,13966330,BAJFINANCE.NS,-0.006404598875541907,1.1603152383235757,30.47998046875,0.03523697164017341,0.0006209734908806825,0.022010759189213202,2,Low Risk - Steady Return (Stable)
5,2025-04-04 03:45:00,865.5999755859375,879.7000122070312,858.3800048828125,871.885009765625,18496580,BAJFINANCE.NS,0.0072608992109005855,0.3243693941071133,21.32000732421875,0.024630323389030734,0.0006209734908806825,0.022010759189213202,2,Low Risk - Steady Return (Stable)
6,2025-04-07 03:45:00,834.0,860.0499877929688,830.7150268554688,856.7999877929688,13981240,BAJFINANCE.NS,0.02733811485967476,-0.24411756119239336,29.3349609375,0.035173814073741004,0.0006209734908806825,0.022010759189213202,2,Low Risk - Steady Return (Stable)
7,2025-04-08 03:45:00,865.0,887.2999877929688,865.0,882.2249755859375,14775630,BAJFINANCE.NS,0.01991326657333815,0.056818279351473766,22.29998779296875,0.025780332708634394,0.0006209734908806825,0.022010759189213202,2,Low Risk - Steady Return (Stable)
8,2025-04-09 03:45:00,881.5,884.2000122070312,862.5,873.5800170898438,10487740,BAJFINANCE.NS,-0.008984665808458593,-0.2902001471341662,21.70001220703125,0.024617143740250993,0.0006209734908806825,0.022010759189213202,2,Low Risk - Steady Return (Stable)
9,2025-04-11 03:45:00,882.5050048828125,897.3499755859375,881.0700073242188,892.1099853515625,10097220,BAJFINANCE.NS,0.01088376883485827,-0.03723585824972775,16.27996826171875,0.01844745148372338,0.0006209734908806825,0.022010759189213202,2,Low Risk - Steady Return (Stable)
10,2025-04-15 03:45:00,925.5499877929688,929.0,907.5499877929688,914.0999755859376,12633610,BAJFINANCE.NS,-0.012371035987299184,0.25119686408734276,21.45001220703125,0.023175422710749672,0.0006209734908806825,0.022010759189213202,2,Low Risk - Steady Return (Stable)
11,2025-04-16 03:45:00,914.9500122070312,917.1500244140624,896.4000244140625,905.6500244140624,7198220,BAJFINANCE.NS,-0.010164476385475471,-0.4302325305276956,20.749999999999886,0.02267883460643603,0.0006209734908806825,0.022010759189213202,2,Low Risk - Steady Return (Stable)
12,2025-04-17 03:45:00,904.0,919.0,895.2000122070312,916.25,11415130,BAJFINANCE.NS,0.013550884955752213,0.5858267738413108,23.79998779296875,0.02632742012496543,0.0006209734908806825,0.022010759189213202,2,Low Risk - Steady Return (Stable)
13,2025-04-21 03:45:00,917.0,931.5,914.1500244140624,927.3499755859376,7824150,BAJFINANCE.NS,0.011286778174413974,-0.31458073626844374,17.349975585937614,0.018920365960673514,0.0006209734908806825,0.022010759189213202,2,Low Risk - Steady Return (Stable)
14,2025-04-22 03:45:00,929.5,939.2999877929688,923.0,926.0499877929688,11293580,BAJFINANCE.NS,-0.0037116860753429264,0.4434258034419074,16.29998779296875,0.0175362967111014,0.0006209734908806825,0.022010759189213202,2,Low Risk - Steady Return (Stable)
15,2025-04-23 03:45:00,928.2000122070312,934.8499755859376,915.0,932.2999877929688,10818710,BAJFINANCE.NS,0.00441712511529575,-0.042047782899665154,19.849975585937614,0.021385450683995635,0.0006209734908806825,0.022010759189213202,2,Low Risk - Steady Return (Stable)
16,2025-04-24 03:45:00,962.0,966.0,927.2999877929688,930.0999755859376,18496710,BAJFINANCE.NS,-0.03316010853852639,0.7096964425518384,38.70001220703125,0.040228702917911904,0.0006209734908806825,0.022010759189213202,2,Low Risk - Steady Return (Stable)
17,2025-04-25 03:45:00,931.0499877929688,934.4500122070312,899.0,911.2000122070312,10893540,BAJFINANCE.NS,-0.021319989094239055,-0.4110552633414266,35.45001220703125,0.038075304947980976,0.0006209734908806825,0.022010759189213202,2,Low Risk - Steady Return (Stable)
18,2025-04-28 03:45:00,908.0,912.5,900.0499877929688,909.2999877929688,9946560,BAJFINANCE.NS,0.0014317046178069933,-0.08693041931273027,12.45001220703125,0.013711467188360407,0.0006209734908806825,0.022010759189213202,2,Low Risk - Steady Return (Stable)
19,2025-04-29 03:45:00,913.0,914.5999755859376,896.0,909.2999877929688,11768180,BAJFINANCE.NS,-0.004052587302334337,0.18314070392175785,18.599975585937614,0.020372371945167157,0.0006209734908806825,0.022010759189213202,2,Low Risk - Steady Return (Stable)
20,2025-04-30 03:45:00,884.0,888.7999877929688,855.5999755859375,863.4500122070312,39690570,BAJFINANCE.NS,-0.02324659252598275,2.372702490954421,33.20001220703125,0.03755657489483173,0.0006209734908806825,0.022010759189213202,2,Low Risk - Steady Return (Stable)
21,2025-05-02 03:45:00,857.5499877929688,891.5,856.5999755859375,886.8499755859375,18933030,BAJFINANCE.NS,0.03416709021053873,-0.5229841748304447,34.9000244140625,0.040697364481204014,0.0006209734908806825,0.022010759189213202,2,Low Risk - Steady Return (Stable)
22,2025-05-05 03:45:00,887.75,903.2999877929688,886.5999755859375,893.2000122070312,8930610,BAJFINANCE.NS,0.006139129492572515,-0.5283052950320155,16.70001220703125,0.018811616116058857,0.0006209734908806825,0.022010759189213202,2,Low Risk - Steady Return (Stable)
23,2025-05-06 03:45:00,891.0999755859375,897.4000244140625,875.0,879.75,12040870,BAJFINANCE.NS,-0.012737039498261002,0.34826960308422383,22.4000244140625,0.025137498628404177,0.0006209734908806825,0.022010759189213202,2,Low Risk - Steady Return (Stable)
24,2025-05-07 03:45:00,875.0,899.75,872.2999877929688,898.6500244140625,11635570,BAJFINANCE.NS,0.02702859933035714,-0.03366035842924975,27.45001220703125,0.03137144252232143,0.0006209734908806825,0.022010759189213202,2,Low Risk - Steady Return (Stable)
25,2025-05-08 03:45:00,897.7000122070312,907.4500122070312,877.5,883.25,12018090,BAJFINANCE.NS,-0.016096704924293496,0.03287505468146379,29.95001220703125,0.0333630520215745,0.0006209734908806825,0.022010759189213202,2,Low Risk - Steady Return (Stable)
26,2025-05-09 03:45:00,865.0,878.0999755859375,860.5,864.0999755859375,12151340,BAJFINANCE.NS,-0.0010404906520953758,0.011087452332275705,17.5999755859375,0.020346792584898844,0.0006209734908806825,0.022010759189213202,2,Low Risk - Steady Return (Stable)
27,2025-05-12 03:45:00,884.9000244140625,903.0,882.5499877929688,901.8499755859376,10638220,BAJFINANCE.NS,0.019154651038797904,-0.12452289212547751,20.45001220703125,0.023109969084442333,0.0006209734908806825,0.022010759189213202,2,Low Risk - Steady Return (Stable)
28,2025-05-13 03:45:00,900.4000244140625,916.3499755859376,899.0999755859375,904.2000122070312,13363000,BAJFINANCE.NS,0.0042203328408854735,0.2561311948803464,17.250000000000114,0.01915815141300734,0.0006209734908806825,0.022010759189213202,2,Low Risk - Steady Return (Stable)
29,2025-05-14 03:45:00,904.5,911.0499877929688,901.2000122070312,908.0999755859376,7594000,BAJFINANCE.NS,0.003980072510710463,-0.43171443538127663,9.8499755859375,0.0108899674803068,0.0006209734908806825,0.022010759189213202,2,Low Risk - Steady Return (Stable)
30,2025-05-15 03:45:00,909.9500122070312,921.5,902.7999877929688,918.8499755859376,10385000,BAJFINANCE.NS,0.009780716808080497,0.36752699499604957,18.70001220703125,0.020550592841551207,0.0006209734908806825,0.022010759189213202,2,Low Risk - Steady Return (Stable)
31,2025-05-16 03:45:00,918.8499755859376,928.5999755859376,913.3499755859376,916.7000122070312,6251920,BAJFINANCE.NS,-0.00233984158027034,-0.3979855560905151,15.25,0.01659683343875075,0.0006209734908806825,0.022010759189213202,2,Low Risk - Steady Return (Stable)
32,2025-05-19 03:45:00,916.7000122070312,928.9500122070312,916.7000122070312,925.5499877929688,7162740,BAJFINANCE.NS,0.009654167631819324,0.14568644512405782,12.25,0.01336315025294601,0.0006209734908806825,0.022010759189213202,2,Low Risk - Steady Return (Stable)
